English,French,eng_len,fr_len
"Not to improve working conditions, for in increasing production with fewer workers, working conditions are made worse.","Ce n'est pas pour améliorer les conditions de travail, car en faisant produire plus avec moins d'ouvriers, les conditions de travail s'aggravent.",16,21
(The Minutes were approved),(Le procès-verbal est adopté),3,3
"We will have to study several indicators, which will enable us to see the current state of regional societies that are in a worse situation than others, and how they are evolving.",Il faudra étudier quelques indicateurs nous permettant d'étudier l'état et l'évolution des sociétés régionales qui sont dans une moins bonne situation que les autres.,31,23
This has now been done.,Cela a déjà été fait.,4,4
"Mr President, I support the main proposals of the report concerning the administration of the Structural Funds and the Cohesion Fund for the period 2000-2006 and the main recommendations of the report which include the following: there must always be an integrated approach to the spending of EU Structural and Cohesion Funds.","Monsieur le Président, je suis favorable aux propositions principales du rapport concernant l'administration des fonds structurels et du Fonds de cohésion pour la période 2000-2006 et aux recommandations principales de ce rapport comprenant les points suivants : il doit toujours y avoir une approche intégrée des dépenses des fonds structurels et du Fonds de cohésion de l'UE.",51,56
The Commission has put forward a new White Paper on this containing two key points: dropping the obligation to notify and retrodisplacement of law enforcement.,"À cet effet, la Commission a présenté un Livre blanc focalisé sur deux points essentiels : abandon de l'obligation de notification, retour à l'application du droit.",24,25
What criteria will the Commission use to approve or reject the Member States' programmes?,En fonction de quels critères la Commission acceptera-t-elle ou rejettera-t-elle les programmes des États membres ?,13,15
"Mr President, Commissioner, I would like to thank Mrs Schroedter for an excellent report. She has gone into the issue in some depth and in the committee debate she took account of many of the amendments that have been tabled regarding this report.","Monsieur le Président, Monsieur le Commissaire, chers collègues, je tiens à remercier Mme Schroedter pour son excellent rapport ; elle s' est consacrée à fond à sa tâche et, lors de l' examen en commission, a tenu compte des nombreux amendements qui ont été apportés.",42,44
"Take, for example, the car manufacturing sector, where subsidies and state aid of various sorts have increased by 24% during the reference period.","Regardez l'automobile, où des subventions et les aides diverses des États ont augmenté de 24 % pendant la période de référence.",22,20
"The report looks at the issue of harmonising the examination requirements for safety advisors working in the areas of transportation of dangerous goods by road, rail and inland waterway.","Il envisage l'harmonisation du niveau des exigences applicables à l'examen des conseillers à la sécurité pour le transport de marchandises dangereuses par route, par rail ou par voie navigable.",28,28
We must support initiatives increasing the availability and improving the distribution and management of the region's very scarce water resources.,Nous devons soutenir les initiatives visant à développer les ressources en eau et à améliorer la distribution et la gestion de ce produit très peu abondant dans la région.,19,28
KFOR and the UNMIC police consider one of their two main tasks to be preventing any form of maltreatment on the grounds of a person' s ethnic origin.,L'une des tâches principales de la KAFOR et de la police de la MINUC consiste à supprimer toutes les formes de mauvais traitements dues à l'origine ethnique.,27,26
"I also assume that you, Commissioner, want to honour the reputation of, and the work put in by, your predecessors and that your offices will pursue the same objective.","Je pars également du principe que vous, Monsieur le Commissaire, voulez faire honneur à votre réputation, ainsi qu' au travail accompli par vos prédécesseurs, et que vos services partagent aussi le même objectif.",28,32
I have not attended a single forum of specialists in competition law which has not requested a change to the system.,Je n'ai assisté à aucun forum de spécialistes du droit de la concurrence où un changement du système n'était pas demandé.,20,20
"Mrs van der Laan' s report - on which she has lavished a great deal of hard work, and for which we are indebted to her - proposes that we should grant discharge to the Commission for 1997.","À présent, Mme van der Laan, à laquelle il convient de rendre hommage pour tout le travail qu' elle a accompli, nous invite dans son rapport à donner décharge à la Commission pour l' année 1997.",37,35
Perhaps that will end scandals like the failure of states to deploy in Kosovo the police they promised.,"Voilà qui permettra peut-être d'éviter des scandales comme celui du non-déploiement, par les États qui avaient promis de le faire, de forces de police au Kosovo.",17,25
"That modernisation came to be particularly necessary for five reasons. Firstly, the authorisation system; secondly, decentralised application; thirdly, procedural rules; fourthly, judicial application; and fifthly and finally, excessive red tape.","Une modernisation s'imposait, dès lors, de toute urgence et s'avérait particulièrement nécessaire sur cinq points : le régime d'autorisation, l'application décentralisée, les règles de procédure, l'application judiciaire et le formalisme excessif.",29,30
"Mr President, for British Conservatives the efficient and uniform application of European competition policy is at the core of achieving an effective single market across the whole of the European Union.","Monsieur le Président, pour les conservateurs britanniques, l'application efficace et uniforme de la politique européenne de la concurrence est au cur de la réalisation d'un marché unique efficace dans l'ensemble de l'Union européenne.",30,32
"This report seems to me to be redundant, long-winded, confused and lacking in accuracy in the terms used.","Je trouve ce rapport redondant, prolixe, confus et dépourvu de précision quant aux concepts utilisés.",17,14
"- (FR) In voting against this report, we are acting as spokespersons for all the men and women who in Seattle and throughout Europe expressed their rejection of a world reduced to strict commercial logic.","En votant contre ce rapport, nous nous faisons les porte-parole de toutes celles et de tous ceux qui ont marqué leur refus, à Seattle et partout en Europe, d' un monde réduit à une stricte logique marchande.",34,36
We urge you to take the opportunity to establish the real staffing needs of the Commission based on the essential activities for which it is responsible.,Nous vous prions instamment de saisir l'occasion pour évaluer les besoins réels de la Commission en ressources humaines sur la base des activités essentielles dont elle est responsable.,25,27
I am absolutely certain that this code will be observed and that Parliament will keep abreast of all the developments and details concerning the implementation of the programmes.,Je suis tout à fait convaincu que ce code sera respecté et que le Parlement sera tenu informé de toutes les évolutions et des détails de la mise en uvre des programmes.,27,31
"The trade in emissions rights is immoral to my mind and rather than solving the problem, it shelves it.","Selon moi, le commerce des droits d'émission est immoral et ne résout pas le problème ; il ne fait que le repousser.",18,21
"In the field of immigration, borders and asylum, the Commission presented a proposal for a regulation on setting up the Eurodac database, and a proposal for a directive on conditions for admitting third country nationals into Member States of the European Union with a view to reuniting families, as part of a vigorous policy of integrating legal residents in the territory of the European Union.","Dans le domaine de l'immigration, des frontières et du droit d'asile, la Commission a présenté la proposition de règlement en vue de la constitution de la base de données ""Eurodac"", la proposition de directive sur les conditions d'admission des ressortissants de pays tiers dans les États membres de l'Union en vue du regroupement familial, dans le cadre d'une politique déterminée d'intégration des personnes résidant légalement sur le territoire de l'Union.",64,69
"This failure is illustrated by the fact that after an entire war that was waged to put an end to ethnic cleansing, we now have ethnic cleansing from the opposite side.","Car c'est un échec qu'après toute une guerre menée pour éviter une épuration ethnique, il se produise une épuration due à l'autre bord.",30,22
I think that a strategic decision of this sort can be taken at European level.,Je pense qu'une telle décision stratégique peut être prise au niveau européen.,14,11
We recognise that means discipline on the part of Commission officials and we recognise also that we have a responsibility within Parliament on discipline when we talk about negative priorities.,"Nous admettons que cela suppose de la discipline de la part des fonctionnaires de la Commission et nous admettons également que, au sein du Parlement, nous sommes responsables de la discipline lorsque nous parlons de priorités négatives.",29,36
"Furthermore, we should utilise an extraordinary budget line, since this is an extraordinarily catastrophic situation.","Il faut, en outre, recourir à une ligne budgétaire extraordinaire, dès lors que la catastrophe revêt un caractère extraordinaire.",14,18
It is regrettable that we do not have any instrument with which to give assistance in situations like this.,Il est regrettable que nous ne disposions pas d'instruments qui nous permettent de prodiguer une aide dans des situations telles que celles-ci.,18,21
I welcome the movement towards the recognition of judicial systems in the various countries and the cooperation on crime.,Je me félicite de l'évolution vers la reconnaissance des systèmes judiciaires entre les différents pays et vers la coopération en matière pénale.,18,21
"Too many young, new officials are leaving their jobs after just a few years.",Trop nombreux sont les nouveaux fonctionnaires qui partent après quelques années.,13,10
"Mr President, once again we are debating the European Union' s competition policy.","Monsieur le Président, nous débattons une fois de plus de la politique européenne de concurrence.",12,14
So there is doubt as to whether these pledges of the Commission contain enough substance at this crucial time when decisions need to be made.,"Alors que nous devons prendre une décision, le doute subsiste par conséquent quant à savoir si les résolutions de la Commission sont suffisamment fermes.",24,23
"Via the structural funds, a great deal of the European budget is being pumped around the system.",Une grande part du budget européen est absorbée par les dépenses faites dans le cadre des fonds structurels.,16,17
"Another matter we would like to address, specifically from the point of view of industrial policy, is that we would have liked the Commission to pay more attention to the effects of services, electronic commerce and the growing use of the Internet, when they were planning the coordination of Structural Funds and Cohesion Funds.","Le deuxième point sur lequel nous voulions attirer l' attention, précisément dans l' optique de la politique industrielle, c' est que nous aurions souhaité qu' en réfléchissant à la coordination des Fonds structurels et du Fonds de cohésion, la Commission attache une plus grande attention à l' incidence de la progression des services, du commerce électronique et de l' utilisation de l' Internet.",53,62
"What is being done may well be very important, but it is still not sufficient.",Ce que nous faisons maintenant est probablement fort important mais c'est encore insuffisant.,14,12
"Mr President, early last year, the 1997 discharge was postponed because this Parliament could not possibly grant discharge to a resigning Commission which could not enter into any commitments for the future.","Monsieur le Président, au début de l' année passée, la décharge relative à l' exercice 1997 avait été ajournée parce que le Parlement ne pouvait l' octroyer à une Commission démissionnaire qui ne pouvait forcément prendre des engagements pour l' avenir.",31,40
"That is why I and my Group are proposing three key amendments and additions to the text, not to take anything away from the proposal, but to make it more relevant to those whom it is there to guide.",C'est pourquoi mon groupe et moi-même proposons trois amendements-clés et des ajouts au texte. Il ne s'agit nullement d'ôter quoi que ce soit de la proposition mais de la rendre plus pertinente pour ceux qu'elle entend guider.,38,36
I would just like to point again to the impact on the forestry industry throughout Europe.,Je voudrais une fois encore insister sur son importance pour la sylviculture dans toute l'Europe.,15,14
"Therefore, the future of this new Commission will depend in no small measure on the extent to which reforms are swiftly undertaken here and financial control is back in working order.",L' avenir de la nouvelle Commission dépendra donc largement de la vitesse à laquelle les réformes seront entreprises et le contrôle financier sera rétabli.,30,23
"In other words, we need real cost-effectiveness for our entire energy supply system.",Cela signifie que nous devons réellement établir la vérité des coûts pour l'ensemble de notre système d'approvisionnement énergétique.,12,17
"When we consider that a conference will soon be held in Moscow, it becomes clear that the European Union' s presence in this peace process is somewhat pitiful.","Et lorsqu'on pense qu'une Conférence sera prochainement tenue à Moscou, le caractère pathétique de la présence de l'Union européenne dans ce processus est mis en évidence.",27,25
We must win back their faith in EU politics.,Il convient de lui redonner confiance en la politique de l' UE.,8,11
"What is the reason for the Commission?s acting in this way, and how can it explain the resultant discrepancy between its words and its actions on the reform of EU administration?","Pour quelle raison la Commission agit-elle de cette manière, et comment explique-t-elle la différence ainsi née entre le discours et l'action touchant à la réforme de l'administration de l'UE ?",30,29
This will be a good opportunity to address the need to take similarly courageous steps to improve the Palestinian administration and to bolster the rule of law.,"Ce sera une bonne occasion pour évoquer la nécessité de prendre d'autres initiatives, tout aussi courageuses, afin d'améliorer l'administration palestinienne et de promouvoir l'État de droit.",26,25
"Quite clearly it is undesirable to have situations develop whereby scientists working for, or advising, the food safety authority at Community level may be in disagreement with some scientific opinion at Member State level.",Il est tout à fait clair qu'il n'est pas souhaitable de voir des situations se développer dans lesquelles des scientifiques travaillant ou rendant des avis au sein de l'autorité de sécurité alimentaire au niveau communautaire puissent être en désaccord avec une opinion scientifique émise au niveau d'un État membre.,33,48
I know there has been an analysis of the implications for the Commission of the change.,Je sais qu'une analyse des implications de ce changement pour la Commission a été effectuée.,15,14
"I would also like to point out, Madam President, that this Parliament voted to express its confidence in President Prodi during the previous legislature. It did so again during this legislature, in July, and then, in September, it voted once more to approve the whole Commission.","Je vous rappelle en outre, Madame la Présidente, que ce Parlement a voté par deux fois la confiance au président Prodi lors de la précédente législature ; au cours de cette législature, il l'a de nouveau votée en juillet et, ensuite, avec l'entrée en fonction de la nouvelle Commission, il a redonné sa confiance en septembre à l'ensemble de la Commission.",45,60
I would first like to express my heartfelt condolences to the families in mourning as a result of the appalling weather conditions that devastated Europe in December.,"Tout d'abord, je tiens à exprimer ma profonde sympathie aux familles endeuillées par les intempéries qui ont ravagé l'Europe en décembre dernier.",26,21
"So we are now experiencing the same thing that happened 20 years ago with the Amoco Cadiz; a wreck on the North coast, a wreck on the South coast, a wreck on the West coast.","Alors on recommence comme il y 20 ans avec l'Amoco, un coup sur la côte nord, un coup sur la côte sud, un coup sur la côte ouest.",34,27
"That is to say that experts are ever more convinced that climate change and human activities, in general terms, are linked to the increase seen in natural disasters in recent years.","En d'autres termes, les experts sont de plus en plus convaincus que les changements climatiques et les activités humaines, en termes généraux, sont responsables de l'augmentation des catastrophes naturelles au cours des dernières années.",30,33
"Fourthly, I would like to be informed of why the Commission does not choose to apply the invalidity penalty in the case of evident infringements of the competition rules.","En quatrième lieu, je voudrais savoir pourquoi la Commission n' opte pas pour l' application de la sanction frappant de nullité les actes posés qui contreviennent manifestement aux règles en matière de concurrence.",28,32
We need independent procedures and procedures involving public control.,Il nous faut des procédures indépendantes et transparentes.,8,7
"I am sure that he is aware of the very serious threat to the European model which is based on family farming, mainly those farmers involved in beef and sheepmeat production who are now expected to sell their produce at or below production costs.","Je suis certain qu'il a conscience de la menace très grave qui pèse sur le modèle européen fondé sur l'exploitation familiale. Les premiers concernés sont les producteurs de viande de buf et de mouton, dont on attend aujourd'hui qu'ils vendent leurs produits à des prix égaux ou inférieurs à leurs coûts de production.",43,52
"We need to be sure that if need be, the country whose flag the ship is flying will accept liability.","Nous devons être sûrs qu'en cas de doute, le pays dont le navire bat pavillon assume la responsabilité.",19,17
"Mr President, I am in favour of tightening up the legislation on port state control and on classification societies.","Monsieur le Président, chers collègues, je suis favorable au renforcement des dispositions en matière de contrôle effectué par l'État du port et de sociétés de classification.",18,25
Funding for NGO programmes in Tajikistan amounted to EUR 7.42 million in 1998 and 1999.,"Les financements destinés aux programmes relatifs aux ONG au Tadjikistan se sont chiffrés à 7,42 millions d'euros en 1998 et 1999.",14,20
"Mr President, Mr van Hulten, your work is worthy of being qualified as enterprising, arduous and complex, and I believe this is important in a first report.","Monsieur le Président, monsieur van Hulten et son travail méritent, en espagnol, des qualificatifs élogieux : courageux, ingrat, complexe, et je pense que c'est important pour un premier rapport.",26,28
"A free and open market can only exist by the grace of competition, marked by clear, uniform rules.","Un marché libre et ouvert ne peut exister que grâce à la libre concurrence, encadrée cependant par des règles claires et uniformes.",17,21
That is the only deterrent we have for preventing other classification companies from following suit.,C'est la seule manière de dissuader d'autres sociétés de classification d'également délivrer des certificats de complaisance.,14,15
"In the interests of equality, either the Code must be applied or it must be modified.","Dans un souci d' égalité, soit il faut appliquer le code, soit il faut le modifier.",15,15
I would like to congratulate Lousewies van der Laan.,Je tiens à féliciter Lousewies van der Laan.,8,7
I should like to say that I agree with the tone which Galeote Quecedo' s speech set here.,J' aimerais ajouter que j' adhère à la formulation qu' a employée à cette tribune M. Galeote Quecedo.,17,17
Our own staff policy is outdated.,Notre politique du personnel est elle-même désuète.,5,6
This trio's words were like music to our ears as Mr Ceyhun has said.,"Comme l'a dit M. Ceyhun, les paroles de ce trio résonnaient comme une musique à nos oreilles.",13,16
The Commission hereby adopts this amendment and accepts it.,La Commission reprend et accepte la proposition d'amendement.,8,7
"You know that you will always have our support here in Parliament, and that includes your proposal, and we shall be behind you when the time comes to finance it.",Nous répondrons également présents lorsqu' il s' agira de la financer. Mais nous devons également jouer un rôle politique que M. Moratinos n' est pas capable de jouer à lui seul.,29,30
"Instead of allowing the costs of these disasters to fall on the communities most affected and insurance markets such as Lloyds of London, we must develop new technologies to retrieve from the sea much more than 10% of the lost oil.","Nous devons développer de nouvelles technologies en vue de récupérer beaucoup plus que 10 % du pétrole perdu en mer, plutôt que de faire supporter le coût de cette catastrophe aux communautés très affectées et par les assurances tels que la Lloyds de Londres.",40,43
But I know too that we will have many further opportunities in the coming months to consider the White Paper's proposals on the authority.,"Mais je sais également que nous aurons de nombreuses occasions, au cours des prochains mois, d'examiner les propositions du Livre blanc concernant cette autorité.",23,23
"This being the case, various amendments to the rapporteur' s initial draft report were adopted in committee, particularly highlighting the need for effective reimbursement of aid found to be illegal as well as the establishment of a league table of results.","Ceci étant, différents amendements au projet initial du rapporteur ont été adoptés en commission, notamment mettant l'accent sur la nécessité d'un remboursement effectif des aides jugées illégales ainsi que l'établissement d'un palmarès des résultats.",40,33
"The citizens are right to ask: ""do our regions now count amongst those which are lost forever?""",Les populations demandent fort justement si leurs régions comptent désormais parmi celles qui sont définitivement condamnées.,16,15
1997 discharge,Décharge 1997,1,1
Within a few hours of the presentation of the report President Santer announced the resignation of his entire team.,"Quelques jours après la présentation dudit rapport, le président Santer annonçait la démission en bloc de son équipe.",18,17
"Not a single piece of information, nor a single consultation, has been addressed to Parliament during this process; neither on the association of the United Kingdom, nor on the incorporation of Greece, nor on the negotiations with Norway and Iceland.","Il n'y a eu aucune information, aucune consultation du Parlement européen au cours de ce processus, ni sur l'association du Royaume-Uni, ni sur l'adhésion de la Grèce, ni sur les négociations avec la Norvège ou l'Islande.",39,35
"We are discussing last year' s discharge, but also the Commission' s responsibility.","Nous discutons de la décharge d' un exercice précédent, mais aussi de la responsabilité de la Commission.",12,16
This Parliament anxiously awaits this complete reform programme.,Le Parlement attend avec anxiété ce programme complet de réforme.,7,9
"I shall summarise two of those highlighted by the rapporteur, one positive and one negative.","J'en résumerai deux, qui ont déjà été rappelées par le rapporteur, l'une positive, l'autre négative.",14,14
We are waiting to see what the next move will be.,Nous attendons de voir quels seront les prochains pas.,10,8
"However, Israel is not the only country concerned with security.",La sécurité ne concerne cependant pas seulement Israël.,9,7
"To this end, Europe as a whole, and each Member State individually, will have to make optimum use of all available resources and capacities, including the Structural Funds.","Dès lors, l'Europe dans son ensemble, et chacun des États membres en particulier, devra exploiter au mieux toutes ses ressources et toutes ses capacités, et donc également les fonds structurels disponibles.",27,30
Structural Funds - Cohesion Fund coordination,Coordination Fonds structurels/Fonds de cohésion,5,4
"The reform does not entail any reduction in the Commission' s activities, but requires them to focus on the most important dossiers.",La réforme n'implique aucune réduction des travaux de la Commission mais bien un recentrage de ceux-ci sur les dossiers plus importants.,21,20
"Only one manager has participated in gender training, and for half a day.",Seul un responsable a assisté pendant une demi-journée à cette formation.,12,10
We do not want to build a Europe of cities alone.,Nous ne voulons pas seulement bâtir une Europe de villes.,10,9
"We agree with the rapporteur regarding his criticism of the fact that, despite the rules laid down in the sixth Steel Aid Code, the Commission has frequently authorised aid to companies which do not correspond to the categories in that Code.","À l'instar du rapporteur, nous critiquons la Commission qui, en dépit des règles qui émanent de ce sixième code d'aides à la sidérurgie, a fréquemment autorisé des aides à des entreprises qui ne correspondent pas aux catégories reprises dans le code.",40,40
"They should not be about shifting priorities and policies halfway through project development, resulting in inevitable delays and underspends, particularly in the light of the new budgetary requirement.","Elles devraient éviter le changement à mi-parcours des priorités et politiques du développement du projet, car celui-ci mène inévitablement à des retards et à une dépense seulement partielle des crédits disponibles, en particulier à la lumière des nouvelles exigences budgétaires.",27,39
"It is fine, in principle.",Il est bon dans son principe.,4,5
"Any failure to produce these certificates must lead to the ship being laid up and prohibited from leaving the port, regardless of all the port charges.","Sans certificat et sans attestation d'assurance, le navire est immobilisé et ne peut plus quitter le port, quelles que soient les taxes portuaires dont il s'acquitterait.",25,25
I do not believe that there is any real disagreement between us on this.,Je ne pense pas qu'il y ait de désaccord réel entre nous à cet égard.,13,14
The common response has been that this tax could not be applied solely at national level and that the right platform for tackling this is the European Union. This is the reason for the oral question to the Council and Commission which we have tabled with 37 other Members.,"La réponse a souvent été qu'elle ne peut être traitée au seul niveau national et que la bonne échelle pour l'aborder est celle de l'Union européenne, d'où la question orale au Conseil et à la Commission que nous avons déposée avec 37 autres députés.",48,43
"This list of actions, which is not exhaustive, should, here today, in the presence of the Council Presidency and of the Members of this House, help to make it clear that, while 1999 was a year of consolidation for EU action in this key area, it also - I very much hope - represented the start of a new phase, marked by the desire to speed up the establishment of an area of freedom, security and justice.","Cette liste d'actions non exhaustive me permet de réaffirmer aujourd'hui devant la présidence du Conseil et les députés, avec beaucoup de conviction, que si 1999 a été l'année de la consolidation de l'action de l'Union dans ce domaine fondamental, elle aura été aussi le début d'une nouvelle phase d'accélération de la création d'un espace de liberté, de sécurité et de justice.",76,60
It is his first report here in plenary.,C' est son premier rapport devant l' Assemblée.,7,7
"Small and medium-sized businesses, above all, need to take part in the distribution of these funds.",Il faut surtout que les patrons des petites et moyennes entreprises prennent part à la distribution de ces fonds.,15,18
The consequences do not inspire hope.,Les conséquences ne se font pas attendre.,5,6
I am sure they are aware that in mid-December we officially received the draft framework agreement with Parliament.,"Je suis sûr qu'ils savent qu'à la mi-décembre, nous avons officiellement reçu le projet d'accord-cadre avec le Parlement.",17,17
"Take, for example, the pledges made by the Commission. They look good in themselves.",À propos des promesses de la Commission par exemple : elles nous semblent valables.,13,13
"Because, if this is not the case, we will be faced with the paradox that the Commission itself will introduce elements of unfair competition into the functioning of the European internal market.","Si ce n'est pas le cas, nous serions en effet confrontés à un paradoxe : la Commission elle-même introduirait des éléments de concurrence déloyale dans le fonctionnement du marché intérieur européen.",31,30
Whistle-blowers who act in good faith must be protected.,Il faut que les informateurs internes de bonne foi soient protégés.,8,10
The report states that in Greece and Italy targets for improving ?employability? have not yet been reached and it is doubtful whether the policies to be implemented will enable the guidelines on preventing and dealing with long-term unemployment to be complied with.,"Le rapport en question mentionne qu'en Grèce et en Italie les objectifs en matière d'amélioration de l'""employabilité"" n'ont pas encore été atteints ; il n'est pas certain que les politiques qui doivent y être mises en uvre appliqueront effectivement les directives relatives à la prévention et à la lutte contre le chômage de longue durée.",41,54
"This is an exercise in sovereignty, and in democracy for each population and every individual, but to this end it is vital for all parties in the conflict to have the courage to strive for peace and rights, and to recognise the other as its partner and not as its subject to whom concessions must be given.","Pour chaque peuple et chaque personne, c'est une question aussi de souveraineté et de démocratie mais pour ce faire, il est indispensable que chaque partie en conflit ait le courage de promouvoir la paix et le respect des droits, qu'elle reconnaisse l'autre comme partenaire et non comme sujet à qui il faille faire des concessions.",56,54
"So Parliament should send a message, since that is the wish of the vast majority.","Le Parlement devrait dès lors envoyer un message en ce sens, étant donné qu'une grande majorité des députés le souhaite.",14,19
"The Commission will be called upon, in a report that has yet to be compiled for the year 1999, to give a detailed explanation of its active role in the elaboration of restructuring plans and approved exemptions, thus enabling a proper assessment of the overall situation to be made.","Nous demandons que, dans le rapport pour 1999, qui doit encore être rédigé, la Commission mette en évidence de manière détaillée le rôle actif qu' elle joue dans l' élaboration de plans de restructuration et quant à l' autorisation de dérogations et permette, ce faisant, de se livrer sur cette base à une évaluation adéquate du contexte général.",48,57
They are already having implications for resource availability.,Elles ont déjà des implications sur la disponibilité des ressources.,7,9
"However, this should not lead us to accuse the whole merchant marine, which is an important sector of the economy, covering as it does 1/3 of transport requirements, which is why our reaction needs to be measured: strict, but correct.","Mais cela ne doit pas nous amener à mettre en cause l'ensemble de la marine marchande, qui est un secteur important pour l'économie puisqu'elle représente environ le tiers des transports, et c'est pourquoi nos réactions doivent être mesurées, sévères mais justes.",39,40
"The Commission also intends to present specific measures in the field of crime prevention, so as to encourage exchanges of best practice in this area, and in particular the prevention of urban and juvenile delinquency; we further intend to present a legal basis for a programme financed by the Community for this purpose.","La Commission compte présenter aussi des mesures spécifiques dans le cadre de la prévention de la criminalité de manière à développer l'échange des meilleures pratiques dans ce domaine, surtout en ce qui concerne la prévention de la délinquance urbaine et juvénile, et présenter une base juridique pour le programme financé par la Communauté à cet effet.",52,55
"Therefore, the report allows them to be members of political parties and to be members of political bodies affiliated to their parties.",C'est la raison pour laquelle le rapport leur permet de militer politiquement et d'appartenir à des organes politiques associés à leurs partis.,21,21
The Commission therefore welcomes paragraph 15 of Mr van Hulten's report.,La Commission salue donc le paragraphe 15 du rapport van Hulten.,10,10
"This has been interpreted as indicating that the Arab attitude towards Israel should be regarded by Europeans as being similar to the Nazis' anti-Semitism, which of course is completely incorrect.",Cette constatation a donné lieu à une interprétation selon laquelle les Européens considéreraient l' attitude des pays arabes à l' égard d' Israël du même il qu' ils ne voient l' antisémitisme nazi. C' est bien sûr totalement faux.,29,38
A final amendment is intended to ensure that tanks and tankers put into service between 1 January 1997 and the entry into force of this directive may continue to be used provided that they have been constructed and maintained in accordance with it.,"Enfin, une dernière proposition d'amendement devrait permettre de continuer d'utiliser les citernes et véhicules mis en service entre le 1er janvier 1997 et l'entrée en vigueur de cette directive si leur construction et leur entretien répondent aux exigences.",42,37
The state hand must still be clearly seen to regulate the market and the Commission must act as judge.,La main des États doit rester visible pour encadrer le marché et la Commission doit en être l'arbitre.,18,17
My third and final point relates to the external activities of the Union in the field of immigration and asylum.,Ma troisième réflexion concerne l'action extérieure de l'Union dans le domaine de l'immigration et de l'asile.,19,15
"Sadly, I fear, the Council will yet again fail to act and we will be back in the future discussing yet another maritime and ecological disaster.","Malheureusement, je crains que le Conseil, une fois de plus, n'agira pas, et que nous rediscuterons à l'avenir d'une énième catastrophe maritime et écologique.",25,23
"On behalf of the Commission I am able to congratulate the rapporteur on having again addressed the genuinely difficult question as to what we can do, in terms of creating legal bases and effecting institutional change, to step up the fight against fraud perpetrated against the European Union.","Au nom de la Commission, je peux exprimer notre reconnaissance au rapporteur pour s'être à nouveau penchée sur la question vraiment délicate de savoir quelles bases juridiques, quelles modifications institutionnelles pouvaient être élaborées afin d'intensifier la lutte contre la fraude sévissant au détriment de l'Union européenne.",47,45
"They need a 'European soul' , as a distinguished Spanish professor once said.","Ils ont besoin de l'""âme européenne"" comme l'a dit un illustre professeur espagnol.",12,12
"It is also legitimate for there to be inter-company agreements and voluntary restraint agreements, since all these agreements make it possible to reduce the detrimental effects of competition on social or ecological requirements.","Il est également légitime qu' il puisse y avoir des accords interentreprises, des accords d' autolimitation, tous ces accords permettant de diminuer les effets pervers de la concurrence sur les exigences sociales ou les exigences écologiques.",32,35
There is as yet no federal European tax.,"Ici, il n' y a pas encore d' impôt fédéral européen.",7,10
"We all regret that the European Committee for Standardisation (CEN) has not been able, in the required time, to carry out the amendment of the provisions necessary for the required harmonisation within the European Union.",Nous regrettons tous que le Comité européen de normalisation (CEN) n'ait pas été capable de réaliser dans les délais fixés la modification des dispositions nécessaire pour parvenir à une harmonisation appropriée au sein de l'Union européenne.,34,35
"There again, it is simply not possible to change situations once and for all with a few strokes of the pen, and the problems begin as soon as we have to start talking about implementation and getting down to brass tacks.","D' un autre côté, les circonstances ne peuvent être modifiées d' un trait de plume du jour au lendemain. Dès qu' il s' agit de mettre les choses en uvre, dès qu' il faut discuter sur quelques points de détail, on voit très rapidement surgir les difficultés.",40,46
I look forward to attending that meeting and hope that at last we can begin to push things forward again.,"Je suis impatient d'assister à cette conférence et j'espère qu'enfin, nous pourrons commencer à faire à nouveau avancer les choses.",19,19
"A5-0073/1999 by Mr Langen, on behalf of the Committee on Economic and Monetary Affairs, on the Commission Report on the implementation in 1998 of Commission Decision No. 2496/96/ECSC of 18 December 1996 establishing Community rules for State aid to the steel industry (Steel Aid Code). [COM(1999) 94 - C5-0104/1999 - 1999/2107(COS)].","A5-0073/1999 de M. Langen, au nom de la commission économique et monétaire, sur le rapport de la Commission sur l' application en 1998 de sa décision no 2496/96/CECA du 18 décembre 1996 instituant des règles communautaires pour les aides à la sidérurgie (code des aides à la sidérurgie) (COM(1999)094 - C5-0104/1999 - 1999/2107(COS)).",50,52
"In addition, and to achieve better assurances than those provided under the present system, the new system of decentralised controls must be complemented by setting up an internal audit service - ""the second key"" as Herr Bösch said, established in a way that is closely consistent with the recommendations of the Committee of Experts.","En outre, afin d'atteindre de plus grandes garanties que celles qu'offre le système actuel, le nouveau système de contrôles décentralisés doit être complété par l'établissement d'un service d'audit interne ­ "" la deuxième clé "" -, pour reprendre Herr Bösch, relativement compatible avec les recommandations du comité d'experts.",53,47
"Recently, I have noticed that the Commission has been working hard to ensure that this principal is respected in a proper and effective manner, precisely in order to safeguard market flexibility, both for products and for services.","J'ai remarqué que, ces derniers temps, la Commission s'est attelée à faire en sorte que ce principe soit appliqué de façon correcte et incisive, afin justement de sauvegarder la flexibilité des marchés, tant pour les produits que pour les services.",36,39
I think that the answer is brief and clear.,Je pense que la réponse était concise et claire.,8,8
We have made a lot of progress over the past couple of years since the reformed system of scientific advice was adopted as a consequence of the BSE crisis.,"Nous avons beaucoup progressé ces dernières années depuis que le système réformé d'avis scientifique a été adopté, à la suite de la crise de l'ESB.",28,24
The market favours the short term and immediate profits.,Le marché privilégie le court terme et les gains immédiats.,8,9
